name,token,error
Wrapped Dogecoin,WDOGE,zero-size array to reduction operation maximum which has no identity
Make America Based Again,MABA,zero-size array to reduction operation maximum which has no identity
Alvara Protocol,ALVA,zero-size array to reduction operation maximum which has no identity
MeowCat,MEOW,There are no more samples after a first-order seasonal differencing. See http://alkaline-ml.com/pmdarima/seasonal-differencing-issues.html for a more in-depth explanation and potential work-arounds.
Meme Cup,MEMECUP,There are no more samples after a first-order seasonal differencing. See http://alkaline-ml.com/pmdarima/seasonal-differencing-issues.html for a more in-depth explanation and potential work-arounds.
Wall Street Games,WSG,"Working outside of application context.

This typically means that you attempted to use functionality that needed
the current application. To solve this, set up an application context
with app.app_context(). See the documentation for more information."
FOMO BULL CLUB,FOMO,zero-size array to reduction operation maximum which has no identity
Donkey King,DOKY,There are no more samples after a first-order seasonal differencing. See http://alkaline-ml.com/pmdarima/seasonal-differencing-issues.html for a more in-depth explanation and potential work-arounds.
Planet Mojo,MOJO,zero-size array to reduction operation maximum which has no identity
MAGE,MAGE,"All lag values up to 'maxlag' produced singular matrices. Consider using a longer series, a different lag term or a different test."
Tate Stop,TME,"shapes (4,2) and (1,) not aligned: 2 (dim 1) != 1 (dim 0)"
CatSolHat,SOLCAT,There are no more samples after a first-order seasonal differencing. See http://alkaline-ml.com/pmdarima/seasonal-differencing-issues.html for a more in-depth explanation and potential work-arounds.
BullBear AI,AIBB,"Working outside of application context.

This typically means that you attempted to use functionality that needed
the current application. To solve this, set up an application context
with app.app_context(). See the documentation for more information."
DOGWIFHOOD,WIF,There are no more samples after a first-order seasonal differencing. See http://alkaline-ml.com/pmdarima/seasonal-differencing-issues.html for a more in-depth explanation and potential work-arounds.
Ryoshi Token,RYOSHI,"Working outside of application context.

This typically means that you attempted to use functionality that needed
the current application. To solve this, set up an application context
with app.app_context(). See the documentation for more information."
Kingdomverse,KING,zero-size array to reduction operation maximum which has no identity
Shib Original Vision,SOV,"Working outside of application context.

This typically means that you attempted to use functionality that needed
the current application. To solve this, set up an application context
with app.app_context(). See the documentation for more information."
Carlo,CARLO,zero-size array to reduction operation maximum which has no identity
RUSH COIN,RUSH,"Working outside of application context.

This typically means that you attempted to use functionality that needed
the current application. To solve this, set up an application context
with app.app_context(). See the documentation for more information."
NAOS Finance,NAOS,"shapes (4,2) and (1,) not aligned: 2 (dim 1) != 1 (dim 0)"
Protocol Monsters,PMON,zero-size array to reduction operation maximum which has no identity
NeverSurrenderOne's,NSO,zero-size array to reduction operation maximum which has no identity
Wall Street Games (old),WSG,"Working outside of application context.

This typically means that you attempted to use functionality that needed
the current application. To solve this, set up an application context
with app.app_context(). See the documentation for more information."
Papu Token,PAPU,"Working outside of application context.

This typically means that you attempted to use functionality that needed
the current application. To solve this, set up an application context
with app.app_context(). See the documentation for more information."
Caitlyn Jenner (ETH),JENNER,zero-size array to reduction operation maximum which has no identity
WaifuAI,WFAI,"Working outside of application context.

This typically means that you attempted to use functionality that needed
the current application. To solve this, set up an application context
with app.app_context(). See the documentation for more information."
BABYTRUMP,BABYTRUMP,zero-size array to reduction operation maximum which has no identity
Oggy Inu (BSC),OGGY,"Working outside of application context.

This typically means that you attempted to use functionality that needed
the current application. To solve this, set up an application context
with app.app_context(). See the documentation for more information."
Coinye West,COINYE,There are no more samples after a first-order seasonal differencing. See http://alkaline-ml.com/pmdarima/seasonal-differencing-issues.html for a more in-depth explanation and potential work-arounds.
Hawk Tuah,HAWKTUAH,zero-size array to reduction operation maximum which has no identity
Gemach,GMAC,zero-size array to reduction operation maximum which has no identity
Solzilla,SOLZILLA,"Working outside of application context.

This typically means that you attempted to use functionality that needed
the current application. To solve this, set up an application context
with app.app_context(). See the documentation for more information."
AIgentX,AIX,There are no more samples after a first-order seasonal differencing. See http://alkaline-ml.com/pmdarima/seasonal-differencing-issues.html for a more in-depth explanation and potential work-arounds.
KittenWifHat,KITTENWIF,"shapes (4,2) and (1,) not aligned: 2 (dim 1) != 1 (dim 0)"
Nvidia Inu,NINU,zero-size array to reduction operation maximum which has no identity
